subject_id	subject_label	predicate_id	predicate_label	object_id	object_label	match_type	mapping_provider
SCDO:0000296	Creatinine Blood Test	oio:hasDbXref	database cross reference	phenX:141400		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:1000666	Abnormality of Alkaline Phosphatase Level	oio:hasDbXref	database cross reference	HP:0004379		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0001372	Point Mutation	oio:hasDbXref	database cross reference	NCIT:C62200		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0000790	Narcolepsy	oio:hasDbXref	database cross reference	HP:0030050		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0000015	Acute Chest Syndrome	oio:hasDbXref	database cross reference	DOID:1584		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0000204	Cerebral Blood Flow Assay	oio:hasDbXref	database cross reference	NCIT:C154865		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0000201	Cerebellar Hemorrhage	oio:hasDbXref	database cross reference	HP:0011695		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0000638	Infectious Agent	oio:hasDbXref	database cross reference	OBI:0000925		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0000547	Hemoglobin Profile Assay	oio:hasDbXref	database cross reference	phenX:830301		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0000250	Clinical Neuropathy Assessment	oio:hasDbXref	database cross reference	phenX:130201		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0003089	Lethargy	oio:hasDbXref	database cross reference	HP:0001254		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0001166	Transcranial Doppler Ultrasonography	oio:hasDbXref	database cross reference	MESH:D017585		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0000843	Osteopenia	oio:hasDbXref	database cross reference	HP:0000938		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0004190	Amitriptyline	oio:hasDbXref	database cross reference	NCIT:C62005		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0000142	Blood Flow Measurement	oio:hasDbXref	database cross reference	CMO:0000195		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0001945	Iron Overload	oio:hasDbXref	database cross reference	NCIT:C78393		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0001158	Indel Mutation	oio:hasDbXref	database cross reference	MESH:D054643		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0000090	Attention Deficit Hyperactivity Disorder	oio:hasDbXref	database cross reference	HP:0007018		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0000621	Impaired Renal Concentrating Ability	oio:hasDbXref	database cross reference	HP:0004727		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0000863	Pallor	oio:hasDbXref	database cross reference	HP:0000980		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0000603	Hypothyroidism	oio:hasDbXref	database cross reference	HP:0000821		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:1000099	Modifier Gene	oio:hasDbXref	database cross reference	MESH:D060045		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:1000348	Sleep Disorders Screener	oio:hasDbXref	database cross reference	phenX:121000		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:1000622	Volume Unit	oio:hasDbXref	database cross reference	UO:0000095		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0003158	Oligomenorrhea	oio:hasDbXref	database cross reference	HP:0000876		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:1000093	Adverse Event (AE)	oio:hasDbXref	database cross reference	OAE:0000001		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:1000409	Collaboration Required	oio:hasDbXref	database cross reference	DUO:0000020		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:1000572	Diagnosis	oio:hasDbXref	database cross reference	SIO:001331		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0000497	Healthy Diet	oio:hasDbXref	database cross reference	MESH:D000072001		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0004140	deprecated Country	oio:hasDbXref	database cross reference	NCIT:C25464		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0000973	Red Blood Cell Count	oio:hasDbXref	database cross reference	CMO:0000025		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:1000274	Abnormality of the Integument	oio:hasDbXref	database cross reference	HP:0001574		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0000360	Depression	oio:hasDbXref	database cross reference	SIO:000824		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0300007	Parental Notification	oio:hasDbXref	database cross reference	MESH:D035622		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:1000250	deprecated Abnormal Molecular Function	oio:hasDbXref	database cross reference	FYPO:0000707		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0000907	Platelet Measurement	oio:hasDbXref	database cross reference	CMO:0000921		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
SCDO:0001315	Facial Nerve Palsy	oio:hasDbXref	database cross reference	HP:0010628		HumanCurated	http://purl.obolibrary.org/obo/scdo.owl
