subject_id	subject_label	predicate_id	predicate_label	object_id	object_label	match_type	mapping_provider
SCDO:0007198	Gastroenteritis	oio:hasDbXref	database cross reference	DOID:2326		SSSOMC:HumanCurated	http://scdontology.h3abionet.org/ontology/scdo.owl
SCDO:0001140	Tertiary Healthcare	oio:hasDbXref	database cross reference	MESH:D063128		SSSOMC:HumanCurated	http://scdontology.h3abionet.org/ontology/scdo.owl
SCDO:0008484	Epilepsy	oio:hasDbXref	database cross reference	DOID:1826		SSSOMC:HumanCurated	http://scdontology.h3abionet.org/ontology/scdo.owl
SCDO:1000452	Cancer Pain	oio:hasDbXref	database cross reference	MESH:D000072716		SSSOMC:HumanCurated	http://scdontology.h3abionet.org/ontology/scdo.owl
SCDO:0000869	Patient Compliance	oio:hasDbXref	database cross reference	MESH:D010349		SSSOMC:HumanCurated	http://scdontology.h3abionet.org/ontology/scdo.owl
SCDO:0008927	Acute Cholecystitis	oio:hasDbXref	database cross reference	NCIT:C35152		SSSOMC:HumanCurated	http://scdontology.h3abionet.org/ontology/scdo.owl
SCDO:0000397	Drug Clearance Decreased AE	oio:hasDbXref	database cross reference	OAE:0000887		SSSOMC:HumanCurated	http://scdontology.h3abionet.org/ontology/scdo.owl
SCDO:0000113	Beta Thalassemia Major	oio:hasDbXref	database cross reference	ORPHA:231214		SSSOMC:HumanCurated	http://scdontology.h3abionet.org/ontology/scdo.owl
SCDO:0000654	Intracranial Hemorrhage	oio:hasDbXref	database cross reference	HP:0002170		SSSOMC:HumanCurated	http://scdontology.h3abionet.org/ontology/scdo.owl
SCDO:1000438	Abnormal Circulating Protein Level	oio:hasDbXref	database cross reference	HP:0010876		SSSOMC:HumanCurated	http://scdontology.h3abionet.org/ontology/scdo.owl
SCDO:1000715	Rate Unit	oio:hasDbXref	database cross reference	UO_0000280		SSSOMC:HumanCurated	http://scdontology.h3abionet.org/ontology/scdo.owl
SCDO:0001233	Viral Infection	oio:hasDbXref	database cross reference	NCIT:C3439		SSSOMC:HumanCurated	http://scdontology.h3abionet.org/ontology/scdo.owl
SCDO:1000672	Intersex	oio:hasDbXref	database cross reference	GSSO:000109		SSSOMC:HumanCurated	http://scdontology.h3abionet.org/ontology/scdo.owl
