subject_id	object_id
SCDO:0007198	DOID:2326
SCDO:0008484	DOID:1826
SCDO:0008927	NCIT:C35152
SCDO:0000654	HP:0002170
SCDO:1000438	HP:0010876
SCDO:0001233	NCIT:C3439
SCDO:1000672	GSSO:000109
SCDO:0000207	HP:0002181
SCDO:0001038	HP:0000763
SCDO:0001116	NCIT:C93407
SCDO:0004437	HP:0030248
SCDO:1000011	NCIT:C84980
SCDO:1000665	HP:0012379
SCDO:0008348	HP:0000951
SCDO:0009818	HP:0000118
SCDO:0005758	HP:0012330
SCDO:0000210	HP:0005318
SCDO:1000404	OBI:0002557
SCDO:0001259	NCIT:C519
SCDO:0003119	ARO:0000006
SCDO:0004183	NCIT:C3890
SCDO:0001347	HP:0000079
SCDO:0005061	NCIT:C99042
SCDO:0000200	DOID:9220
SCDO:1000618	HP:0001894
SCDO:1000810	MP:0002329
SCDO:0009334	HP:0001875
SCDO:0000214	HP:0002341
SCDO:1000634	MP:0005561
SCDO:0000830	HP:0002164
SCDO:0001046	NCIT:C155312
SCDO:0007744	NCIT:C50791
SCDO:0000836	CHEBI:35482
SCDO:0001311	HP:0002071
SCDO:0005733	DOID:0050731
SCDO:0000846	HP:0000388
SCDO:0000595	HP:0000836
SCDO:0007091	HP:0001081
SCDO:0000617	NCIT:C16723
SCDO:1000372	HP:0001787
SCDO:0001293	NCIT:C116942
SCDO:0001337	HP:0002007
SCDO:0001254	DRON:00017565
SCDO:0007912	HP:0002204
SCDO:1000367	NCIT:C16632
SCDO:0003769	HP:0004756
SCDO:0000550	NCIT:C95534
SCDO:1000435	NCIT:C3671
SCDO:0003089	HP:0001254
SCDO:0000888	HP:0011904
SCDO:0000422	OBI:0000990
SCDO:1000419	DUO:0000026
SCDO:1000531	ICO:0000036
SCDO:0000606	NCIT:C561
SCDO:1000057	NCIT:C126121
SCDO:1000881	NCIT:C40978
SCDO:0001009	NCIT:C101217
SCDO:0001144	NCIT:C35069
SCDO:0001115	NCIT:C15320
SCDO:0003118	NCIT:C27088
SCDO:0001344	NCIT:C15238
SCDO:0009838	HP:0002090
SCDO:0000744	HP:0001287
SCDO:0001026	HP:0002650
SCDO:0001272	HP:0001923
SCDO:0000589	HP:0000962
SCDO:1000760	MP:0005535
SCDO:1000407	ICO:0000293
SCDO:1000561	OPMI:0000027
SCDO:0000693	NCIT:C51677
SCDO:0001368	HP:0000007
SCDO:0000563	CHMO:0001009
SCDO:0000201	HP:0011695
