id	Term	Description	Source	XRef	Comment (source)	Comment (SCDO)	Exact Syn	Broad Syn	Related Syn	Narrow Syn
ID	A rdfs:label	A obo:IAO_0000115	A SCDO:0000340	A oboInOwl:hasDbXref SPLIT=,	A rdfs:comment	A SCDO:0000303	A oboInOwl:hasExactSynonym	A oboInOwl:hasBroadSynonym	A oboInOwl:hasRelatedSynonym	A oboInOwl:hasNarrowSynonym
SCDO:0000005	Abdominal Ultrasound	"'A type of imaging test used to look at organs in the abdomen, including the liver, gallbladder, spleen, pancreas, and kidneys. The blood vessels that lead to some of these organs, such as the inferior vena cava and aorta, can also be examined with ultrasound. [Curator team: []]'"	http://www.nlm.nih.gov/medlineplus/ency/article/003777.htm				Abdominal Sonogram			
SCDO:0000006	Ability to Carry Out Activities of Daily Living	"'The performance of the basic activities of self care, such as dressing, ambulation, or eating. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D000203	MESH:D000203			ADL			
SCDO:0000006	Ability to Carry Out Activities of Daily Living						Daily Living Activities			
SCDO:0000006	Ability to Carry Out Activities of Daily Living						Daily Living Activity			
SCDO:0000006	Ability to Carry Out Activities of Daily Living						Self Care (Rehabilitation)			
SCDO:0000006	Ability to Carry Out Activities of Daily Living						Self-Care			
SCDO:0000007	Abnormal Hemoglobin Structure Present in SCD	'Abnormality in the structure and function of the oxygen-carrying protein of erythrocytes. [Curator team: []]'		HP:0011902		"Consider inclusion of other sub-classes of this term in the Human Phenotype Ontology. -- - Elevated hemoglobin A1c -- - Imbalanced Hemoglobin Synthesis (and the 2 terms below this) -- Methemoglobina -- Others from MESH?: -- Hemoglobin E, J, M, Methemoglobin?"				
SCDO:0000007	Abnormal Hemoglobin Structure Present in SCD			HP:0011902						
SCDO:0000008	Abnormality of Erythrocytes	'Abnormality in structure and function of the Red Blood Cell. [Curator team: []]'	http://purl.obolibrary.org/obo/HP_0001877	HP:0001877		"Are there other relevant erythrocyte abnormalities that can be included as children here? If not, this class can be removed and just keep ""Abnormal Hemoglobin""."	Abnormality of Erythroid Lineage Cell			
SCDO:0000008	Abnormality of Erythrocytes			HP:0001877			Abnormality of Red Blood Cells			
SCDO:0000008	Abnormality of Erythrocytes						Abnormality of red blood cell			
SCDO:0000010	Acetaminophen	"'Acetaminophen, also known as paracetamol, is commonly used for its analgesic and antipyretic effects. Its therapeutic effects are similar to salicylates, but it lacks anti-inflammatory, antiplatelet, and gastric ulcerative effects. [Curator team: []]'"								
SCDO:0000012	Acne	"'A skin condition in which there is an increase in sebum secretion by the pilosebaceous apparatus associated with open comedones (blackheads), closed comedones (whiteheads), and pustular nodules (papules, pustules, and cysts). [Curator team: []]'"		HP:0001061		Check and show which source was used for the description and whether the description was adapted from the source. -- Provide source for additional info.				
SCDO:0000012	Acne			DOID:6543						
SCDO:0000012	Acne			HP:0001061						
SCDO:0000013	Acquired Methemoglobinemia	'Methemoglobinemia that is caused by exposure to certain drugs (xylocaine and benzene) and nitrate-rich foods. [Curator team: []]'	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C98805	C98805						
SCDO:0000014	Activated Partial Thromboplastin Time	'The time needed for plasma to form a fibrin clot after the addition of calcium and a phospholipid reagent. It is used to evaluate the intrinsic clotting system. [Curator team: []]'		CMO:0000210			APTT; Quick			
SCDO:0000015	Acute Chest Syndrome	"'Acute onset of respiratory symptoms and/or signs and an X-ray consistent with alveolar consolidation but not atelectasis, involving at least one complete lung segment. [Curator team: []]'"	Castro et al 1994 Blood	DOID:1584		Check and show which source was used for the description and whether the description was adapted from the source. -- Provide source for additional info.				
SCDO:0000015	Acute Chest Syndrome					further work				
