id	Term	has causal genotype
ID		C 'has causal genotype' some %
SCDO:0000042	Alpha Thalassemia	Alpha Thalassemia Genotype
SCDO:0000518	Hemoglobin Barts Hydrops Fetalis	Homozygous Deletion of HBA1 and HBA2
SCDO:0000534	Hemoglobin H Disease	Alpha Thalassemia Genotype
SCDO:0000111	Beta Thalassemia	Beta Thalassemia Genotype
SCDO:0000110	Beta Minus Thalassemia	Beta-Minus Thalassemia Mutation
SCDO:0000115	Beta Zero Thalassemia	Beta-Zero Thalassemia Mutation
SCDO:0000343	Delta Beta Thalassemia	HBB and HBD Deletion
SCDO:0000538	Hemoglobin Lepore Syndrome	Crossover between delta (HBD) and beta globin (HBB) gene loci
SCDO:0000536	Hemoglobin Lepore Boston Disease	Hemoglobin Lepore Boston Genotype
SCDO:1000164	Sickle Cell Disease A/Jamaica Plain	Hemoglobin Genotype A/Jamaica Plain
SCDO:1000165	Sickle Cell Disease A/S-Oman	Hemoglobin Genotype A/S-Oman
SCDO:0001055	Sickle Cell Trait	Hemoglobin Genotype AS
SCDO:1000166	Sickle Cell Disease C/S Antilles	Hemoglobin Genotype C/S Antilles
SCDO:0001057	Sickle Beta Thalassemia	Hemoglobin Genotype S/Beta Thalassemia
SCDO:0001056	Sickle Cell Disease-S Beta Minus Thalassemia	Hemoglobin Genotype S/Beta Minus Thalassaemia
SCDO:0001058	Sickle Cell Disease-S Beta Zero Thalassemia	Hemoglobin Genotype S/Beta Zero Thalassaemia
SCDO:0001063	Sickle Cell Disease-S/Lepore Boston	Hemoglobin Genotype S/Lepore Boston
SCDO:1000062	Sickle Cell Disease-S/C-Harlem	Hemoglobin Genotype S/C-Harlem
SCDO:0001060	Sickle Cell Disease-SD	Hemoglobin Genotype SD
SCDO:0001061	Sickle Cell Disease-S/D-Punjab	Hemoglobin Genotype S/D-Punjab
SCDO:1000010	Sickle Cell Disease-S/HPFH	Hemoglobin Genotype S/HPFH
SCDO:0001064	Sickle Cell Disease-S/O-Arab	Hemoglobin Genotype S/O-Arab
SCDO:1000086	Sickle Cell Disease-S/Quebec Chori	Hemoglobin Genotype S/Quebec-Chori
SCDO:1000090	Sickle Cell Disease-S/S-South End	Hemoglobin Genotype S/S-South End
SCDO:0001059	Sickle Cell Disease-SC	Hemoglobin Genotype SC
SCDO:0001062	Sickle Cell Disease-SE	Hemoglobin Genotype SE
SCDO:0000549	Sickle Cell Disease-SS	Hemoglobin Genotype SS
SCDO:0000520	Hemoglobin C Trait	Hemoglobin Genotype AC
SCDO:0000525	Hemoglobin D Trait	Hemoglobin Genotype AD
SCDO:0000531	Hemoglobin E Trait	Hemoglobin Genotype AE
SCDO:0000545	Hemoglobin O-Arab Trait	Hemoglobin Genotype AO-Arab
SCDO:0000043	Alpha Thalassemia Silent Carrier	Alpha Thalassemia Genotype
SCDO:0000044	Alpha Thalassemia Trait	Alpha Thalassemia Genotype
SCDO:0000114	Beta Thalassemia Trait	Beta Thalassemia Mutation
SCDO:0000541	Hemoglobin M Disease	Hemoglobin Genotype M
SCDO:0000560	Hereditary Persistence of Fetal Hemoglobin	Hereditary Persistence of Fetal Hemoglobin Genotype
SCDO:0000519	Hemoglobin C Disease	Hemoglobin Genotype CC
SCDO:0000524	Hemoglobin D Disease	Hemoglobin Genotype DD
SCDO:0000530	Hemoglobin E Disease	Hemoglobin Genotype EE
SCDO:0000544	Hemoglobin O-Arab Disease	Hemoglobin Genotype O-Arab
SCDO:0000251	Clinical Phenotype of Beta Thalassemia	Beta Thalassemia Genotype
