id	Term	has possible finding
ID		C 'has possible finding' some %
SCDO:0000973	Red Blood Cell Count	Decreased Red Blood Cell Count
SCDO:0000973	Red Blood Cell Count	Normal Red Blood Cell Count
SCDO:0000973	Red Blood Cell Count	Increased Red Blood Cell Count
SCDO:0001243	White Blood Cell Count	Leukopenia
SCDO:0001243	White Blood Cell Count	Normal White Blood Cell Count
SCDO:0001243	White Blood Cell Count	Leukocytosis
SCDO:0000906	Platelet Count	Thrombocytopenia
SCDO:0000906	Platelet Count	Normal Platelet Count
SCDO:0000906	Platelet Count	Thrombocytosis
SCDO:0000523	Hemoglobin Concentration	Decreased Hemoglobin Concentration
SCDO:0000523	Hemoglobin Concentration	Normal Hemoglobin Concentration
SCDO:0000523	Hemoglobin Concentration	Increased Hemoglobin Concentration
SCDO:0000723	Mean Corpuscular Volume	Decreased Mean Corpuscular Volume
SCDO:0000723	Mean Corpuscular Volume	Normal Mean Corpuscular Volume
SCDO:0000723	Mean Corpuscular Volume	Increased Mean Corpuscular Volume
SCDO:0000722	Mean Corpuscular Hemoglobin Level	Decreased Mean Corpuscular Hemoglobin
SCDO:0000722	Mean Corpuscular Hemoglobin Level	Normal Mean Corpuscular Hemoglobin
SCDO:0000722	Mean Corpuscular Hemoglobin Level	Increased Mean Corpuscular Hemoglobin
SCDO:0000721	Mean Corpuscular Hemoglobin Concentration	Decreased Mean Corpuscular Hemoglobin Concentration
SCDO:0000721	Mean Corpuscular Hemoglobin Concentration	Normal Mean Corpuscular Hemoglobin Concentration
SCDO:0000721	Mean Corpuscular Hemoglobin Concentration	Increased Mean Corpuscular Hemoglobin Concentration
SCDO:1000638	Red Blood Cell Distribution Width	Decreased Red Blood Cell Distribution Width
SCDO:1000638	Red Blood Cell Distribution Width	Normal Red Blood Cell Distribution Width
SCDO:1000638	Red Blood Cell Distribution Width	Increased Red Blood Cell Distribution Width
SCDO:0001042	Serum Creatinine Level	Decreased Serum Creatinine
SCDO:0001042	Serum Creatinine Level	Normal Serum Creatinine
SCDO:0001042	Serum Creatinine Level	Elevated Serum Creatinine
SCDO:0001209	Urine Albumin Concentration	Low Level Albuminuria
SCDO:0001209	Urine Albumin Concentration	Normal Urine Albumin Concentration
SCDO:0001209	Urine Albumin Concentration	High Level Albuminuria
SCDO:0001213	Urine Creatinine Concentration	Increased Urine Creatinine Level
SCDO:0001213	Urine Creatinine Concentration	Normal Urine Creatinine Level
SCDO:0001213	Urine Creatinine Concentration	Decreased Urine Creatinine Level
SCDO:0000035	Alanine Aminotransferase Level	Elevated Serum Alanine Aminotransferase
SCDO:0000035	Alanine Aminotransferase Level	Normal Serum Alanine Aminotransferase
SCDO:0000080	Aspartate Aminotransferase Level	Elevated Serum Aspartate Aminotransferase
SCDO:0000080	Aspartate Aminotransferase Level	Normal Serum Aspartate Aminotransferase
SCDO:1000499	Alkaline Phosphatase Level	Elevated Serum Alkaline Phosphatase
SCDO:1000499	Alkaline Phosphatase Level	Normal Serum Alkaline Phosphatase
SCDO:1000499	Alkaline Phosphatase Level	Decreased Serum Alkaline Phosphatase
SCDO:1000500	Total Serum Bilirubin Level	Increased Total Bilirubin
SCDO:1000500	Total Serum Bilirubin Level	Normal Total Serum Bilirubin
SCDO:0000682	Lactate Dehydrogenase Level	Reduced Lactate Dehydrogenase Level
SCDO:0000682	Lactate Dehydrogenase Level	Normal Lactate Dehydrogenase Level
SCDO:0000682	Lactate Dehydrogenase Level	Increased Lactate Dehydrogenase Level
SCDO:0001004	Reticulocyte Count	Reticulocytosis
SCDO:0001004	Reticulocyte Count	Normal Reticulocyte Count
SCDO:0001004	Reticulocyte Count	Reticulocytopenia
SCDO:1000690	Hemoglobin A Level	Reduced Hemoglobin A
SCDO:1000690	Hemoglobin A Level	Absent Hemoglobin A
SCDO:1000692	Hemoglobin S Level	Absent Hemoglobin S
SCDO:1000692	Hemoglobin S Level	Hemoglobin S Present
SCDO:1000695	Hemoglobin C Level	Absent Hemoglobin C
SCDO:1000695	Hemoglobin C Level	Hemoglobin C Present
SCDO:1000697	Hemoglobin E Level	Absent Hemoglobin E
SCDO:1000697	Hemoglobin E Level	Hemoglobin E Present
SCDO:1000698	Hemoglobin A2 Level	Increased Hemoglobin A2
SCDO:1000698	Hemoglobin A2 Level	Normal Hemoglobin A2 Level
SCDO:1000701	Hemoglobin D-Punjab Level	Absent Hemoglobin D-Punjab
SCDO:1000701	Hemoglobin D-Punjab Level	Hemoglobin D-Punjab Present
SCDO:1000703	Hemoglobin G-Philadelphia Level	Absent Hemoglobin G-Philadelphia
SCDO:1000703	Hemoglobin G-Philadelphia Level	Hemoglobin G-Philadelphia Present
SCDO:1000705	Hemoglobin O-Arab Level	Absent Hemoglobin O-Arab
SCDO:1000705	Hemoglobin O-Arab Level	Hemoglobin O-Arab Present
SCDO:1000707	Hemoglobin F Level	Increased Hemoglobin F
SCDO:1000707	Hemoglobin F Level	Normal Hemoglobin F Level
SCDO:0000151	Body Temperature	Increased Body Temperature
SCDO:0000151	Body Temperature	Decreased Body Temperature
SCDO:0000993	Respiratory Rate	Bradypnea
SCDO:0000993	Respiratory Rate	Tachypnea
SCDO:1000719	Partial Pressure of Carbon Dioxide	Decreased Partial Pressure of Carbon Dioxide
SCDO:1000719	Partial Pressure of Carbon Dioxide	Normal Partial Pressure of Carbon Dioxide
SCDO:1000719	Partial Pressure of Carbon Dioxide	Increased Partial Pressure of Carbon Dioxide
SCDO:1000723	Partial Pressure of Oxygen	Normal Partial Pressure of Oxygen
SCDO:1000723	Partial Pressure of Oxygen	Decreased Partial Pressure of Oxygen
SCDO:0000523	Hemoglobin Concentration	Decreased Hemoglobin Concentration
SCDO:0000523	Hemoglobin Concentration	Increased Hemoglobin Concentration
SCDO:0000849	Arterial Oxygen Saturation	Normal Arterial Oxygen Saturation
SCDO:0000849	Arterial Oxygen Saturation	Decreased Arterial Oxygen Saturation
SCDO:1000728	Carboxyhemoglobin to Total Hemoglobin Ratio	Increased Carboxyhemoglobin
SCDO:1000728	Carboxyhemoglobin to Total Hemoglobin Ratio	Normal Carboxyhemoglobin Level
SCDO:1000727	Methemoglobin to Total Hemoglobin Ratio	Increased Methemoglobin
SCDO:1000727	Methemoglobin to Total Hemoglobin Ratio	Normal Methemoglobin Level
