id	Term	is question type
ID		C 'is question type' some %
SCDO:1000512	SickleInAfrica CDE - Informed Consent Obtained Question	Multiple Choice Single Selection Question
SCDO:1000534	SickleInAfrica CDE - Consent Form Uploaded Question	Yes-No Question
SCDO:1000548	SickleInAfrica CDE - Current Marital Status Question	Multiple Choice Single Selection Question
SCDO:1000549	SickleInAfrica CDE - Spouse Sex Question	Multiple Choice Single Selection Question
SCDO:1000669	SickleInAfrica CDE - Partner Status Question	Yes-No Question
SCDO:1000710	SickleInAfrica CDE - Partner Sex Question	Multiple Choice Single Selection Question
SCDO:1000670	SickleInAfrica CDE - Past Partner Status Question	Yes-No Question
SCDO:1000551	SickleInAfrica CDE - Sex Question	Multiple Choice Single Selection Question
SCDO:1000552	SickleInAfrica CDE - Date of Diagnosis Known Question	Yes-No Question
SCDO:1000566	SickleInAfrica CDE - Year of Diagnosis Question	Multiple Choice Single Selection Question
SCDO:1000571	SickleInAfrica CDE - Month of Diagnosis Question	Multiple Choice Single Selection Question
SCDO:1000573	SickleInAfrica CDE - SCD Test Result Question	Multiple Choice Single Selection Question
SCDO:1000575	SickleInAfrica CDE - Type of SCD Test Question	Multiple Choice Single Selection Question
SCDO:1000579	SickleInAfrica CDE - Blood Group Question	Multiple Choice Single Selection Question
SCDO:1000591	SickleInAfrica CDE - Hydroxyurea Use Question	Yes-No Question
SCDO:1000595	SickleInAfrica CDE - Penicillin V Use Question	Multiple Choice Single Selection Question
SCDO:1000597	SickleInAfrica CDE - Folic Acid Use Question	Yes-No Question
SCDO:1000600	SickleInAfrica CDE - Malaria Prophylaxis Question	Multiple Choice Single Selection Question
SCDO:1000601	SickleInAfrica CDE - Pneumococcal Vaccination Question	Yes-No Question
SCDO:1000759	SickleInAfrica CDE - Type of Temperature Question	Multiple Choice Single Selection Question
SCDO:1000520	SickleInAfrica CDE - Type of Informed Consent Obtained Question	Multiple Choice Multiple Selection Question
SCDO:1000687	SickleInAfrica CDE - Hb Assay Results Recorded Question	Multiple Choice Multiple Selection Question
SCDO:1000533	SickleInAfrica CDE - Consented By Question	Open-Ended Question - Free Text
SCDO:1000542	SickleInAfrica CDE - Site Participant Number Question	Open-Ended Question - Free Text
SCDO:1000578	SickleInAfrica CDE - SCD Test Other Result Question	Open-Ended Question - Free Text
