id	Term	in guideline
ID		C 'in guideline' some %
SCDO:0001238	Vitreous Hemorrhage	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0001238	Vitreous Hemorrhage	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0001238	Vitreous Hemorrhage	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0001238	Vitreous Hemorrhage	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0001238	Vitreous Hemorrhage	Evidence-Based Management of Sickle Cell Disease
SCDO:0001238	Vitreous Hemorrhage	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0001238	Vitreous Hemorrhage	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0001233	Viral Infection	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0001233	Viral Infection	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0001233	Viral Infection	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0001233	Viral Infection	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0001233	Viral Infection	Evidence-Based Management of Sickle Cell Disease
SCDO:0001233	Viral Infection	A Parental Guide to Managing Sickle Cell Disease
SCDO:0001233	Viral Infection	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0001233	Viral Infection	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0001231	Ventricular Hypertrophy	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0001231	Ventricular Hypertrophy	Management of Children with Sickle Cell Disease in Europe: Current Situation and Future Perspectives
SCDO:0001231	Ventricular Hypertrophy	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0001231	Ventricular Hypertrophy	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0001231	Ventricular Hypertrophy	Evidence-Based Management of Sickle Cell Disease
SCDO:0000632	Increased Susceptibility to Bacterial Infection	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000632	Increased Susceptibility to Bacterial Infection	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000632	Increased Susceptibility to Bacterial Infection	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000632	Increased Susceptibility to Bacterial Infection	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000632	Increased Susceptibility to Bacterial Infection	Evidence-Based Management of Sickle Cell Disease
SCDO:0000632	Increased Susceptibility to Bacterial Infection	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000632	Increased Susceptibility to Bacterial Infection	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000632	Increased Susceptibility to Bacterial Infection	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000635	Infection	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000635	Infection	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000635	Infection	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000635	Infection	Management of Children with Sickle Cell Disease in Europe: Current Situation and Future Perspectives
SCDO:0000635	Infection	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000635	Infection	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000635	Infection	Evidence-Based Management of Sickle Cell Disease
SCDO:0000635	Infection	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000635	Infection	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000635	Infection	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000639	Infertility	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000639	Infertility	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000639	Infertility	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0001046	Sickle Cell Chronic Lung Disease	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0001046	Sickle Cell Chronic Lung Disease	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0001046	Sickle Cell Chronic Lung Disease	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0001046	Sickle Cell Chronic Lung Disease	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0001046	Sickle Cell Chronic Lung Disease	Evidence-Based Management of Sickle Cell Disease
SCDO:0001046	Sickle Cell Chronic Lung Disease	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000021	Acute Upper Respiratory Tract Infection	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000021	Acute Upper Respiratory Tract Infection	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000021	Acute Upper Respiratory Tract Infection	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000020	Acute Tubular Necrosis	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000744	Meningitis	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000744	Meningitis	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000744	Meningitis	Management of Children with Sickle Cell Disease in Europe: Current Situation and Future Perspectives
SCDO:0000744	Meningitis	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000744	Meningitis	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000744	Meningitis	Evidence-Based Management of Sickle Cell Disease
SCDO:0000744	Meningitis	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000744	Meningitis	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
